ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM0.7475,585.8443,697.9179,480.9159,1075.2105,563.668,529.6467,876.2801,678.1629,526.194,474.1975,511.0295,588.8293,445.8548
PPM0.7465,570.0366,696.0576,478.4265,1065.887,571.4874,542.4961,882.8906,662.8137,508.1445,478.6082,494.0207,601.5571,461.576
PPM0.7455,544.0184,681.3422,475.4327,1045.5581,593.8307,557.322,877.3604,624.9253,511.8197,470.3117,498.7874,598.4683,473.3521
PPM0.7445,543.1238,673.6022,491.7925,1042.5861,579.3457,590.8022,893.059,611.831,525.5845,487.5479,487.5416,579.3207,454.1151
PPM0.7435,533.8474,668.5884,496.2842,1032.9084,548.9907,596.8609,889.7526,616.397,521.8569,473.4904,478.3175,586.1688,422.7603
PPM0.7425,531.5864,653.1366,469.7745,1029.36,532.0492,558.5246,872.0272,604.8177,477.981,461.4526,496.9763,614.7368,424.9038
PPM0.7415,533.8013,614.6843,434.9219,1043.4971,514.4401,551.1435,837.7134,572.7909,467.0094,444.6455,496.0914,618.2596,448.1743
PPM0.7405,539.6918,615.0358,450.1902,1011.8582,510.7739,539.0233,833.8289,572.8189,442.8491,426.9977,498.8003,587.6579,458.4387
PPM0.7395,527.7048,618.1023,464.0998,965.7182,512.9653,522.331,823.4924,586.888,441.2644,411.7768,497.5922,567.4749,447.5506
PPM0.7385,517.7282,597.9951,457.8394,972.136,513.9425,518.0769,808.0372,579.6329,443.4918,400.1183,479.7744,544.9297,422.6377
PPM0.7375,522.0588,585.1611,423.2932,980.1353,521.3436,529.4712,799.8319,563.1039,429.68,384.5999,479.1661,544.5508,391.0037
PPM0.7365,512.2562,584.7478,393.4598,988.2067,496.8506,508.8888,817.9306,571.0563,425.3792,406.8783,464.4098,542.5141,367.7173
PPM0.7355,516.1341,588.9991,422.7639,967.214,486.4388,470.1682,832.3044,565.4168,397.006,410.7982,455.2713,543.2582,359.1237
PPM0.7345,500.3482,596.8761,431.9313,935.6928,515.45,442.1597,817.1895,548.6243,374.5491,403.3234,437.8101,563.3256,384.8036
PPM0.7335,488.271,625.0759,436.5256,926.2047,523.5506,447.4684,802.1783,573.1307,385.5392,377.4688,406.5538,555.3146,393.0591
PPM0.7325,497.5056,632.2707,443.9821,935.6225,538.1599,443.4384,804.5728,575.9462,395.4583,362.2095,384.9176,529.6204,392.4275
